All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UNY172P
# misassemblies              17     
  # contig misassemblies     17     
    # c. relocations         2      
    # c. translocations      15     
    # c. inversions          0      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       6      
Misassembled contigs length  188537 
# local misassemblies        3      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     1      
# mismatches                 10235  
# indels                     648    
    # indels (<= 5 bp)       561    
    # indels (> 5 bp)        87     
Indels length                2596   
