Rename_A,Original_Name,Patient Code,OspC_Type,MLST,Location,Origin,RST_Type,OspC_Allele,Disseminated
UMA127,N14,,C,11,Nantucket,US,3,,L
,,,,,,,,,
UNY129,B5,,A,1,NY,US,1,,L
UNY130,B19,,K,3,NY,US,2,,L
UNY131,B23,,G,50,NY,US,3,,L
UNY132,B26,,I,16,NY,US,3,,L
UNY133,B48,,F,8,NY,US,2,,D
UNY134,B62,,N,36,NY,US,2,,D
UNY135,B68,,I,16,NY,US,3,,L
UNY136,B76,,E,19,NY,US,3,,L
UNY137,B83,,O,54,NY,US,3,Ob,L
UNY138,B93,,N,9,NY,US,2,,L
UNY139,B123,,B,7,NY,US,1,,L
UNY140,B124,,E,19,NY,US,3,,L
UNY141,B156,,F,8,NY,US,2,ospC_AT6,L
UNY142,B157,,G,50,NY,US,3,,L
UNY143,B210,,M,12,NY,US,3,,L
UNY144,B225,,U,18,NY,US,3,,L
UNY145,B229,,A,1,NY,US,1,,L
UNY146,B232,,K,3,NY,US,2,,L
UNY147,B236,,J,34,NY,US,3,ospC_AT10,L
UNY148,B244,,H,4,NY,US,2,,L
UNY149,B247,,K,3,NY,US,2,,D
UNY150,B250,,B,7,NY,US,1,,D
UNY151,B251,,H,4,NY,US,2,Hb,D
UNY152,B252,,U,18,NY,US,3,,L
UNY153,B253,,A,1,NY,US,1,,D
UNY154,B257,,K,3,NY,US,2,,L
UNY155,B258,,K,3,NY,US,2,,L
UNY156,B261,,K,3,NY,US,2,,L
UNY157,B262,,B,59,NY,US,1,,L
UNY158,B266,,G,50,NY,US,3,,L
UNY159,B269,,U,18,NY,US,3,,L
UNY160,B272,,K,3,NY,US,2,,D
UNY161,B279,,A,1,NY,US,1,,D
UNY162,B281,,N,9,NY,US,2,,L
UNY163,B310,,B,7,NY,US,1,,L
UNY164,B322,,H,4,NY,US,2,Hb,L
UNY165,B323,,G,14,NY,US,3,,L
UNY166,B329,,N,9,NY,US,2,ospC_AT9,L
UNY167,B331,,I,16,NY,US,3,,L
UNY168,B346,,H,4,NY,US,2,,L
UNY169,B348,,E,19,NY,US,3,ospC_AT5,D
UNY170,B352,,A,1,NY,US,1,,D
UNY171,B353,,F,8,NY,US,2,ospC_AT6,L
UNY172,B356,,M,12,NY,US,3,ospC_AT12,L
UNY173,B364,,D,38,NY,US,3,,L
UNY174,B367,,B,7,NY,US,1,,L
UNY175,B369,,G,14,NY,US,3,ospC_AT7,L
UNY176,B373,,B,7,NY,US,1,ospC_AT2,D
UNY177,B379,,K,3,NY,US,2,,D
UNY178,B385,,G,14,NY,US,3,ospC_AT7,D
UNY179,B388,,K,3,NY,US,2,,D
UNY180,B390,,K,3,NY,US,2,ospC_AT11,L
UNY181,B400,,K,3,NY,US,2,,D
UNY182,B401,,K,3,NY,US,2,,D
UNY183,B408,,I,16,NY,US,3,ospC_AT9,L
UNY184,B410,,A,1,NY,US,1,,L
UNY185,B413,,K,3,NY,US,2,,L
,,,,,,,,,
UNY187,B427,,B,7,NY,US,1,,D
UNY188,B435,,K,3,NY,US,2,ospC_AT11,D
UNY189,B449,,I,16,NY,US,3,,D
UNY190,B454,,B,59,NY,US,1,,D
UNY191,B471,,H,4,NY,US,2,ospC_AT8,D
UNY192,B475,,A,1,NY,US,1,,D
UNY193,B477,,D,38,NY,US,3,ospC_AT4,L
UNY194,B478,,K,3,NY,US,2,,D
UNY195,B479,,A,1,NY,US,1,,D
UNY196,B500,,I,15,NY,US,3,ospC_AT9,D
UNY197,B503,,K,3,NY,US,2,,D
,,,,,,,,,
UNY199,CDC146,,E,19,NY,US,3,ospC_AT5,L
UNY200,CDC160,,A,1,NY,US,1,,L
UNY201,CDC161,,J,34,NY,US,3,ospC_AT10,D
UNY202,MR604,,N,9,NY,US,2,,D
UNY203,MR616,,G,14,NY,US,3,ospC_AT7,L
UNY204,MR620,,M,12,NY,US,3,ospC_AT12,D
UNY205,MR625,,I,16,NY,US,3,,D
UNY206,MR628,,N,9,NY,US,2,ospC_AT13,D
UNY207,MR635,,C,11,NY,US,3,,D
UNY208,MR641,,H,4,NY,US,2,ospC_AT8,D
UNY209,MR656,,I,16,NY,US,3,,D
UNY210,MR662,,U,18,NY,US,3,ospC_AT15,L
UNY211,MR663,,K,3,NY,US,2,,L
UNY212,MR678,,K,3,NY,US,2,,D
UNY213,MR691,,F,8,NY,US,2,,L
UNY214,MR692,,E3,40,NY,US,3,ospC_AT16,L
UNY215,MR715,,G,14,NY,US,3,,D
UNY216,MR716,,M,12,NY,US,3,ospC_AT12,D
UNY217,MR730,,T,37,NY,US,3,ospC_AT14,L
UNY218,MR731,,T,37,NY,US,3,ospC_AT14,L
URI219,R4,,A,1,RI,US,1,,L
UWI220,MC73,,F,56,WI,US,2,Fc,L
UWI221,MC74,,H,32,WI,US,2,Hb,L
UWI222,MC75,,H,32,WI,US,2,Hb,D
UWI223,MC76,,K,234,WI,US,2,ospC_AT11,L
UWI224,MC77,,H,32,WI,US,2,Hb,D
UWI225,MC78,,F,56,WI,US,2,Fc,L
UWI226,MC79,,O,221,WI,US,3,Oa,D
UWI227,MC80,,H,32,WI,US,2,Hb,D
UWI228,MC81,,K,234,WI,US,2,ospC_AT11,L
UWI229,MC82,,N,43,WI,US,2,ospC_AT13,L
UWI230,MC83,,U,222,WI,US,3,ospC_AT15,D
UWI231,MC85,,E3,52,WI,US,3,E3,L
UWI232,MC86,,K,234,WI,US,2,ospC_AT11,D
UWI233,MC88,,G,48,WI,US,3,ospC_AT7,L
UWI234,MC89,,L,29,WI,US,2,L,L
UWI235,MC90,,U,47,WI,US,3,ospC_AT15,L
UWI236,MC91,,G,48,WI,US,3,ospC_AT7,L
UWI237,MC92,,E,229,WI,US,3,E1,L
UWI238,MC93,,L,29,WI,US,2,L,D
UWI239,MC95,,O,221,WI,US,3,Oa,D
UWI240,MC96,,M,12,WI,US,3,M2,D
UWI241,MC97a,,G,48,WI,US,3,ospC_AT7,D
UWI242,MC98,,A,55,WI,US,1,ospC_AT1,L
