refseq_id	old_name
BB_RS01145	BB_0231
BB_RS01150	BB_0232
BB_RS01155	BB_0233
BB_RS01160	BB_0234
BB_RS01165	BB_0235
BB_RS01170	BB_0236
BB_RS01175	BB_0237
BB_RS01180	BB_0238
BB_RS01185	BB_0239
BB_RS01190	BB_0240
BB_RS01195	BB_0241
BB_RS01200	BB_0243
BB_RS01205	BB_0244
BB_RS01210	BB_0245
BB_RS01215	BB_0246
BB_RS01220	BB_0247
BB_RS01225	BB_0248
BB_RS01230	BB_0249
BB_RS01235	BB_0250
BB_RS01245	BB_0251
BB_RS01250	BB_0252
BB_RS01255	BB_0253
BB_RS01260	BB_0254
BB_RS01265	BB_0255
BB_RS01270	BB_0256
BB_RS01275	BB_0257
BB_RS01280	BB_0258
BB_RS01285	BB_0259
BB_RS01290	BB_0260
BB_RS01295	BB_0261
BB_RS01300	BB_0262
BB_RS01305	BB_0263
BB_RS01310	BB_0264
BB_RS01315	BB_0265
BB_RS01320	BB_0266
BB_RS01325	BB_0267
BB_RS01330	BB_0268
BB_RS01335	BB_0269
BB_RS01340	BB_0270
BB_RS01345	BB_0271
BB_RS01350	BB_0272
BB_RS01355	BB_0273
BB_RS01360	BB_0274
BB_RS01365	BB_0275
BB_RS01370	BB_0276
BB_RS01375	BB_0277
BB_RS01380	BB_0278
BB_RS01385	BB_0279
BB_RS01390	BB_0280
BB_RS01395	BB_0281
BB_RS01400	BB_0282
BB_RS01405	BB_0283
BB_RS01410	BB_0284
BB_RS01415	BB_0285
BB_RS01420	BB_0286
BB_RS01425	BB_0287
BB_RS01430	BB_0288
BB_RS01435	BB_0289
BB_RS01440	BB_0290
BB_RS01445	BB_0291
BB_RS01450	BB_0292
BB_RS01455	BB_0293
BB_RS01460	BB_0294
BB_RS01465	BB_0295
BB_RS01470	BB_0296
BB_RS01475	BB_0297
BB_RS01480	BB_0298
BB_RS01485	BB_0299
BB_RS01490	BB_0300
BB_RS01495	BB_0301
BB_RS01500	BB_0302
BB_RS01505	BB_0303
BB_RS01510	BB_0304
BB_RS01515	BB_0305
BB_RS01520	BB_0306
BB_RS01525	BB_0307
BB_RS01530	BB_0308
BB_RS01535	BB_0309
BB_RS01540	BB_0311
BB_RS01545	BB_0312
BB_RS01550	BB_0313
BB_RS01555	BB_0314
BB_RS01560	BB_0315
BB_RS01565	BB_0316
BB_RS01570	BB_0317
BB_RS01575	BB_0318
BB_RS01580	BB_0319
BB_RS01590	BB_0322
BB_RS01595	BB_0323
BB_RS01600	BB_0324
BB_RS01605	BB_0325
BB_RS01610	BB_0326
BB_RS01615	BB_0327
BB_RS01620	BB_0328
BB_RS01625	BB_0329
BB_RS01630	BB_0330
BB_RS01635	BB_0332
BB_RS01640	BB_0333
BB_RS01645	BB_0334
BB_RS01650	BB_0335
BB_RS01655	BB_0336
BB_RS01660	BB_0337
BB_RS01665	BB_0338
BB_RS01670	BB_0339
BB_RS01675	BB_0340
BB_RS01680	BB_0341
BB_RS01685	BB_0342
BB_RS01690	BB_0343
BB_RS01695	BB_0344
BB_RS01700	BB_0345
BB_RS01705	BB_0346
BB_RS01710	BB_0347
BB_RS01715	BB_0348
BB_RS01720	BB_0349
BB_RS01725	BB_0350
BB_RS01730	BB_0351
BB_RS01735	BB_0352
BB_RS01740	BB_0353
BB_RS01745	BB_0354
BB_RS01750	BB_0355
BB_RS01755	BB_0357
BB_RS01760	BB_0358
BB_RS01765	BB_0359
BB_RS01775	BB_0361
BB_RS01780	BB_0362
BB_RS01785	BB_0363
BB_RS01790	BB_0364
BB_RS01795	BB_0365
BB_RS01800	BB_0366
BB_RS01805	BB_0367
BB_RS01810	BB_0368
BB_RS01815	BB_0369
BB_RS01820	BB_0370
BB_RS01825	BB_0371
BB_RS01830	BB_0372
BB_RS01835	BB_0373
BB_RS01840	BB_0374
BB_RS01845	BB_0375
BB_RS01850	BB_0376
BB_RS01855	BB_0377
BB_RS01860	BB_0378
BB_RS01865	BB_0379
BB_RS01870	BB_0380
BB_RS01875	BB_0381
BB_RS01880	BB_0382
BB_RS01885	BB_0383
BB_RS01890	BB_0384
BB_RS01895	BB_0385
BB_RS01900	BB_0386
BB_RS01905	BB_0387
BB_RS01910	BB_0388
BB_RS01915	BB_0389
BB_RS01920	BB_0390
BB_RS01925	BB_0391
BB_RS01930	BB_0392
BB_RS01935	BB_0393
BB_RS01940	BB_0394
BB_RS01945	BB_0395
BB_RS01950	BB_t03
BB_RS01955	BB_0396
BB_RS01960	BB_t33
BB_RS01965	BB_0397
BB_RS01970	BB_0398
BB_RS01975	BB_0399
BB_RS01980	BB_0400
BB_RS01985	BB_0401
BB_RS01990	BB_0402
BB_RS01995	BB_0403
BB_RS02000	BB_0404
BB_RS02005	BB_0405
BB_RS02010	BB_0406
BB_RS02015	BB_0407
BB_RS02020	BB_0408
BB_RS02025	BB_0409
BB_RS02030	BB_0411
BB_RS02035	BB_0412
BB_RS02040	BB_0413
BB_RS02045	BB_0414
BB_RS02050	BB_0415
BB_RS02055	BB_0416
BB_RS02060	BB_0417
BB_RS02065	BB_0418
BB_RS02070	BB_0419
BB_RS02075	BB_0420
