Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
ESI315,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI280,32,H,2.0,,US,WI,,L,illumina
K21,19,E,3.0,,US,CT,,D,hybrid
UNY134,36,N,2.0,,US,NY,,D,illumina
ESI303,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI242,55,A,1.0,,US,WI,,L,illumina
UNY173,38,D,3.0,,US,NY,,L,illumina
UWI229,43,N,2.0,,US,WI,,L,illumina
UWI251,30,B,1.0,,US,WI,,L,illumina
B348,19,E,3.0,Skin,US,NY,,D,pacbio
MC149,221,O,,Skin,US,WI,,L,pacbio
UWI261,55,A,1.0,,US,WI,,D,illumina
UNY136,19,E,3.0,,US,NY,,L,illumina
UWI244,237,J,3.0,,US,WI,,L,illumina
UNY159,18,U,3.0,,US,NY,,L,illumina
UNY183,16,I,3.0,,US,NY,,L,illumina
B356,12,M,3.0,Skin,US,NY,,L,pacbio
K19,9,N,2.0,,US,RI,,L,hybrid
B331,16,I,3.0,Skin,US,NY,,L,pacbio
UNY143,12,M,3.0,,US,NY,,L,illumina
ESI294,ST314,B,1.0,,EU,Slovenia,,,illumina
ESI297,ST545,B,1.0,,EU,Slovenia,,,illumina
UWI249,409,M,3.0,,US,WI,,L,illumina
ESI289,ST314,B,1.0,,EU,Slovenia,,,illumina
UWI241,48,G,3.0,,US,WI,,D,illumina
B418,19,E,3.0,Skin,US,NY,BL252,D,pacbio
UNY204,12,M,3.0,,US,NY,,D,illumina
ESI287,ST314,B,1.0,,EU,Slovenia,,,illumina
ESI285,ST20,B,1.0,,EU,Slovenia,,,illumina
UWI271,30,B,1.0,,US,WI,,D,illumina
URI54,14,G,3.0,,US,RI,,L,illumina
URI44,3,K,2.0,,US,RI,,D,illumina
UCT69,59,B,1.0,,US,CT,,D,illumina
K83,3,K,2.0,,US,RI,,L,hybrid
ESI306,ST545,B,1.0,,EU,Slovenia,,,illumina
ESI305,ST20,B,1.0,,EU,Slovenia,,,illumina
UCT51,16,I,3.0,,US,CT,,L,illumina
URI85,9,N,2.0,,US,RI,,L,illumina
UNY175,14,G,3.0,,US,NY,,L,illumina
UNY133,8,F,2.0,,US,NY,,D,illumina
UWI270,51,D,3.0,,US,WI,,L,illumina
URI94,3,K,2.0,,US,RI,,D,illumina
UCT50,19,E,3.0,,US,CT,,D,illumina
ESI290,ST314,B,1.0,,EU,Slovenia,,,illumina
UNY208,4,H,2.0,,US,NY,,D,illumina
UNY162,9,N,2.0,,US,NY,,L,illumina
UWI224,32,H,2.0,,US,WI,,D,illumina
ESI317,ST20,B,1.0,,EU,Slovenia,,,illumina
UNY202,9,N,2.0,,US,NY,,D,illumina
UMA3,3,K,2.0,,US,Nantucket,,L,illumina
K22,38,D,3.0,,US,RI,,D,hybrid
URI33,9,N,2.0,,US,RI,,D,illumina
UNY158,50,G,3.0,,US,NY,,L,illumina
URI117,3,K,2.0,,US,RI,,L,illumina
K24,14,G,3.0,,US,CT,,L,hybrid
UNY211,3,K,2.0,,US,NY,,L,illumina
UNY209,16,I,3.0,,US,NY,,D,illumina
UCT62,3,K,2.0,,US,CT,,D,illumina
UNY131,50,G,3.0,,US,NY,,L,illumina
UNY130,3,K,2.0,,US,NY,,L,illumina
URI97,3,K,2.0,,US,RI,,L,illumina
URI81,9,N,2.0,,US,RI,,D,illumina
ESI307,ST545,B,1.0,,EU,Slovenia,,,illumina
UNY184,1,A,1.0,,US,NY,,L,illumina
