Isolate,MLST,OspC_Type,RST_Type,Source,Origin,Location,skin/blood_pairs,Disseminated,method
UWI236,48,G,3.0,,US,WI,,L,illumina
ESI315,545,B,1.0,,EU,Slovenia,,,illumina
UWI270,51,D,3.0,,US,WI,,L,illumina
ESI313,314,B,1.0,,EU,Slovenia,,,illumina
UNY162,9,N,2.0,,US,NY,,L,illumina
ESI297,545,B,1.0,,EU,Slovenia,,,illumina
B348,19,E,3.0,Skin,US,NY,,D,pacbio
UNY134,36,N,2.0,,US,NY,,D,illumina
UNY183,16,I,3.0,,US,NY,,L,illumina
ESI314,20,B,1.0,,EU,Slovenia,,,illumina
UWI246,302,E,2.0,,US,WI,,L,illumina
UWI248,32,H,2.0,,US,WI,,L,illumina
UNY205,16,I,3.0,,US,NY,,D,illumina
ESI305,20,B,1.0,,EU,Slovenia,,,illumina
ESI317,20,B,1.0,,EU,Slovenia,,,illumina
UMA3,3,K,2.0,,US,Nantucket,,L,illumina
URI112,3,K,2.0,,US,RI,,L,illumina
UNY177,3,K,2.0,,US,NY,,D,illumina
URI49,8,F,2.0,,US,RI,,L,illumina
K83,3,K,2.0,,US,RI,,L,hybrid
URI56,16,I,3.0,,US,RI,,L,illumina
UWI261,55,A,1.0,,US,WI,,D,illumina
UNY158,50,G,3.0,,US,NY,,L,illumina
URI117,3,K,2.0,,US,RI,,L,illumina
B331,16,I,3.0,Skin,US,NY,,L,pacbio
UCT50,19,E,3.0,,US,CT,,D,illumina
BL522,12,M,3.0,,NY,,,D,pacbio
UCT30,3,K,2.0,,US,CT,,D,illumina
B418,19,E,3.0,Skin,US,NY,BL252,D,pacbio
UWI250,32,H,2.0,,US,WI,,L,illumina
UNY176,7,B,1.0,,US,NY,,D,illumina
UNY209,16,I,3.0,,US,NY,,D,illumina
UWI224,32,H,2.0,,US,WI,,D,illumina
URI81,9,N,2.0,,US,RI,,D,illumina
ESI301,314,B,1.0,,EU,Slovenia,,,illumina
UWI274,226,D,3.0,,US,WI,,L,illumina
UNY200,1,A,1.0,,US,NY,,L,illumina
URI85,9,N,2.0,,US,RI,,L,illumina
UWI271,30,B,1.0,,US,WI,,D,illumina
UWI244,237,J,3.0,,US,WI,,L,illumina
