sample,method
illumina,UWI273_200
illumina,URI46_200
illumina,ESI317_200
illumina,ESI287_200
illumina,UNY217_200
illumina,UNY194_200
illumina,UWI279_200
illumina,URI120_200
illumina,URI111_200
illumina,URI57_200
illumina,UNY158_200
illumina,UNY185_200
illumina,UWI272_200
illumina,ESI319_200
illumina,UNY214_200
illumina,URI37_200
illumina,URI78_200
illumina,URI94_200
illumina,UNY173_200
nanopore,barcode22
nanopore,barcode19
nanopore,barcode02
nanopore,barcode04
nanopore,barcode05
nanopore,barcode21
nanopore,barcode08
nanopore,barcode20
nanopore,barcode06
nanopore,barcode18
nanopore,barcode01
nanopore,barcode03
nanopore,barcode07
hybrid,XD1
hybrid,K84
hybrid,K75
hybrid,K90
hybrid,K10
hybrid,EU57_B190413
hybrid,K72
hybrid,K66
hybrid,K25
hybrid,K21
hybrid,L113
hybrid,K74
hybrid,K2
hybrid,K62
hybrid,K73
hybrid,K58
hybrid,K22
hybrid,K13
hybrid,K86
hybrid,K56
hybrid,K15
hybrid,K24
hybrid,K64
hybrid,K6
hybrid,K18
hybrid,K1
hybrid,K83
hybrid,K19
hybrid,K80
hybrid,K7
hybrid,K12
hybrid,K30
hybrid,EU51_B192411
hybrid,K89
hybrid,K16
hybrid,K17
hybrid,K3
hybrid,EU14_B89613
hybrid,K70
hybrid,K60
hybrid,K57
hybrid,K71
hybrid,K11
hybrid,K59
hybrid,K69
hybrid,K82
hybrid,K76
