All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     UCT113H
# misassemblies              19     
  # contig misassemblies     19     
    # c. relocations         8      
    # c. translocations      9      
    # c. inversions          2      
  # scaffold misassemblies   0      
    # s. relocations         0      
    # s. translocations      0      
    # s. inversions          0      
# misassembled contigs       9      
Misassembled contigs length  186222 
# local misassemblies        5      
# scaffold gap ext. mis.     0      
# scaffold gap loc. mis.     0      
# unaligned mis. contigs     1      
# mismatches                 7893   
# indels                     412    
    # indels (<= 5 bp)       370    
    # indels (> 5 bp)        42     
Indels length                1608   
