68	ESI291	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	Q	AT2
69	URI118	3	2.0	unknown	US	RI	unknown	L	illumina	K	AT11
70	UWI226	221	3.0	unknown	US	WI	unknown	D	illumina	O	Bbis
71	UWI282	55	1.0	unknown	US	WI	unknown	L	illumina	C	AT3
72	UWI233	48	3.0	unknown	US	WI	unknown	L	illumina	G	AT7
73	UWI254	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
74	ESI26	20	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	R	Bbis
75	UNY173	38	3.0	unknown	US	NY	unknown	L	illumina	D	unknown
76	ESI320	546	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	Q	Bbis
77	UWI260	225	3.0	unknown	US	WI	unknown	L	illumina	F3	Bbis
78	UNY217	37	3.0	unknown	US	NY	unknown	L	illumina	T	AT14
79	UNY144	18	3.0	unknown	US	NY	unknown	L	illumina	U	AT15
80	UWI264	29	2.0	unknown	US	WI	unknown	D	illumina	L	Bbis
81	UWI227	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
82	UNY187	7	1.0	unknown	US	NY	unknown	D	illumina	B	AT2
83	UWI232	234	2.0	unknown	US	WI	unknown	D	illumina	K	AT11
84	UWI283	221	3.0	unknown	US	WI	unknown	L	illumina	O	Bbis
85	UWI265	234	2.0	unknown	US	WI	unknown	L	illumina	K	AT11
86	UWI231	52	3.0	unknown	US	WI	unknown	L	illumina	E3	AT16
87	ESI303	545	1.0	unknown	EU	Slovenia	unknown	unknown	illumina	B	AT2
88	UWI222	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
89	UWI269	32	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
90	UNY166	9	2.0	unknown	US	NY	unknown	L	illumina	N	AT13
91	UWI247	4	2.0	unknown	US	WI	unknown	D	illumina	H	AT8
92	UWI245	229	3.0	unknown	US	WI	unknown	L	illumina	E	AT5
93	MC149	221	unknown	Skin	US	WI	unknown	L	pacbio	O	Bbis
