Isolate,OspC_Type,ospc_newtype,AT_type
UNY184,A,A,AT1
UNY163,B,Bb,AT2
UNY153,A,A,AT1
UNY154,K,K,AT11
UNY133,F,Fa,AT6
K64,A,A,AT1
UNY193,D,unknown,unknown
UNY211,K,K,AT11
UNY149,K,K,AT11
ESI286,B,Bb,AT2
UNY132,I,Ia,AT9
URI219,A,A,AT1
UNY139,B,Bb,AT2
URI38,T,T,AT14
UCT106,N,N,AT13
URI46,K,K,AT11
UNY131,G,G,AT7
UNY202,N,N,AT13
UNY165,G,G,AT7
URI98,K,K,AT11
URI71,K,K,AT11
UNY179,K,K,AT11
URI39,A,A,AT1
URI55,E,E,AT5
UCT66,A,A,AT1
K56,K,K,AT11
UNY174,B,Bb,AT2
URI48,N,N,AT13
UNY164,H,Hb,AT8
URI36,I,Ia,AT9
URI102,A,A,AT1
URI22,N,Db,AT4
URI68,N,N,AT13
URI87,A,A,AT1
UNY156,K,K,AT11
UCT109,A,A,AT1
URI100,B,Bb,AT2
UNY146,K,K,AT11
UNY180,K,K,AT11
MR641,,Hb,AT8
UCT29,A,A,AT1
K13,K,K,AT11
URI40,A,unknown,unknown
URI79,B,Bb,AT2
MC123,L,L,Bbis
UMA5,N,N,AT13
UNY148,H,Hb,AT8
MC105,H,Hb,AT8
UMA10,B,Bb,AT2
UCT110,K,K,AT11
URI37,B,Bb,AT2
URI52,I,Ia,AT9
UMA1,K,K,AT11
URI107,A,A,AT1
UNY212,K,K,AT11
ESI308,B,Bb,AT2
BL546,H,Hb,AT8
UCT92,K,K,AT11
UCT35,G,G,AT7
URI59,G,G,AT7
UWI262,D,unknown,unknown
B247,K,K,AT11
UCT104,K,K,AT11
URI41,A,A,AT1
UMA7,N,N,AT13
UCT73,K,K,AT11
URI63,A,A,AT1
UCT76,K,K,AT11
UNY181,K,K,AT11
UCT113,H,Hb,AT8
URI93,A,A,AT1
UMA15,K,K,AT11
UNY190,B,Bb,AT2
BL224,K,K,AT11
UNY185,K,K,AT11
URI47,K,K,AT11
K24,G,G,AT7
URI67,B,Bb,AT2
URI24,A,A,AT1
UMA4,K,K,AT11
BL515,C,unknown,unknown
URI108,B,Bb,AT2
URI23,K,K,AT11
K84,B,Bb,AT2
K6,A,A,AT1
URI111,A,A,AT1
URI75,A,A,AT1
UCT74,A,A,AT1
URI65,A,A,AT1
URI58,I,Ia,AT9
URI70,B,Bb,AT2
BL082_H1,,A,AT1
K25,I,Ia,AT9
UNY157,B,Bb,AT2
UMA16,B,Bb,AT2
HB-19,,Ia,AT9
URI91,A,A,AT1
UNY161,A,A,AT1
URI57,B,Bb,AT2
URI53,I,Ia,AT9
UMA127,C,unknown,unknown
URI61,A,A,AT1
UWI275,M,M,AT12
K73,A,A,AT1
URI72,A,A,AT1
BL206,A,A,AT1
UMA9,A,unknown,unknown
K75,K,unknown,unknown
UMA11,D,unknown,unknown
K58,A,A,AT1
UMA12,A,A,AT1
URI105,A,A,AT1
URI88,H,Hb,AT8
URI101,A,A,AT1
K90,B,Bb,AT2
URI89,A,A,AT1
MR614,C,unknown,unknown
UMA8,A,A,AT1
URI19,B,Bb,AT2
UMA13,B,unknown,unknown
UMA2,F,Fa,AT6
BL091_B31E2_erpP,,A,AT1
K15,K,K,AT11
K74,A,A,AT1
K62,H,Hb,AT8
K66,A,A,AT1
K10,A,A,AT1
URI84,B,unknown,unknown
URI20,G,G,AT7
K18,K,K,AT11
K72,K,K,AT11
EU51_B192411,,L,Bbis
K30,I,Ia,AT9
K12,K,K,AT11
K7,A,A,AT1
K80,E,C,Bbis
K89,,Ia,AT9
K16,N,N,AT13
EU14_B89613,,Bb,AT2
K17,K,K,AT11
K70,K,K,AT11
K57,A,A,AT1
K76,H,Hb,AT8
K3,A,A,AT1
K71,A,A,AT1
K60,A,A,AT1
K82,K,K,AT11
K11,K,K,AT11
K59,K,K,AT11
K69,A,A,AT1
