label	Original_Name	Origin	Location	OspC_Type	RST_Type	MLST	wgs_group	WGS_Group
UNY132	B26	US	NY	I	3	16	B.2	B
UNY133	B48	US	NY	F	2	8	B.1	B
UNY134	B62	US	NY	N	2	36	B.1	B
UNY135	B68	US	NY	I	3	16	B.1	B
UNY136	B76	US	NY	E	3	19	B.1	B
UNY137	B83	US	NY	O	3	54	B.1	B
UNY138	B93	US	NY	N	2	9	B.1	B
UNY139	B123	US	NY	B	1	7	A	A
UNY140	B124	US	NY	E	3	19	B.1	B
UNY141	B156	US	NY	F	2	8	B.1	B
UNY142	B157	US	NY	G	3	50	B.2	B
UNY143	B210	US	NY	M	3	12	B.1	B
UNY144	B225	US	NY	U	3	18	B.2	B
UNY145	B229	US	NY	A	1	1	A	A
UNY146	B232	US	NY	K	2	3	C	C
UNY147	B236	US	NY	J	3	34	B.2	B
UNY148	B244	US	NY	H	2	4	C	C
UNY149	B247	US	NY	K	2	3	C	C
UNY150	B250	US	NY	B	1	7	A	A
UNY151	B251	US	NY	H	2	4	C	C
UNY152	B252	US	NY	U	3	18	B.2	B
UNY153	B253	US	NY	A	1	1	A	A
UNY154	B257	US	NY	K	2	3	C	C
UNY155	B258	US	NY	K	2	3	C	C
UNY156	B261	US	NY	K	2	3	C	C
UNY157	B262	US	NY	B	1	59	A	A
UNY158	B266	US	NY	G	3	50	B.2	B
UNY159	B269	US	NY	U	3	18	B.2	B
UNY160	B272	US	NY	K	2	3	C	C
UNY161	B279	US	NY	A	1	1	A	A
UNY162	B281	US	NY	N	2	9	B.1	B
UNY163	B310	US	NY	B	1	7	A	A
UNY164	B322	US	NY	H	2	4	C	C
UNY165	B323	US	NY	G	3	14	B.2	B
UNY166	B329	US	NY	N	2	9	B.1	B
UNY167	B331	US	NY	I	3	16	B.1	B
UNY168	B346	US	NY	H	2	4	C	C
UNY169	B348	US	NY	E	3	19	B.1	B
UNY170	B352	US	NY	A	1	1	A	A
UNY171	B353	US	NY	F	2	8	B.1	B
UNY172	B356	US	NY	M	3	12	B.1	B
UNY173	B364	US	NY	D	3	38	B.2	B
UNY174	B367	US	NY	B	1	7	A	A
UNY175	B369	US	NY	G	3	14	B.2	B
UNY176	B373	US	NY	B	1	7	A	A
UNY177	B379	US	NY	K	2	3	C	C
UNY178	B385	US	NY	G	3	14	B.2	B
UNY179	B388	US	NY	K	2	3	C	C
UNY180	B390	US	NY	K	2	3	C	C
UNY181	B400	US	NY	K	2	3	C	C
UNY182	B401	US	NY	K	2	3	C	C
UNY183	B408	US	NY	I	3	16	B.1	B
UNY184	B410	US	NY	A	1	1	A	A
UNY185	B413	US	NY	K	2	3	C	C
UNY187	B427	US	NY	B	1	7	A	A
UNY188	B435	US	NY	K	2	3	C	C
UNY189	B449	US	NY	I	3	16	B.2	B
UNY190	B454	US	NY	B	1	59	A	A
UNY191	B471	US	NY	H	2	4	C	C
UNY192	B475	US	NY	A	1	1	A	A
UNY193	B477	US	NY	D	3	38	A	A
UNY194	B478	US	NY	K	2	3	C	C
UNY195	B479	US	NY	A	1	1	A	A
UNY196	B500	US	NY	I	3	15	B.1	B
UNY197	B503	US	NY	K	2	3	C	C
UNY199	CDC146	US	NY	E	3	19	B.1	B
UNY200	CDC160	US	NY	A	1	1	A	A
UNY201	CDC161	US	NY	J	3	34	B.2	B
UNY202	MR604	US	NY	N	2	9	B.1	B
UNY203	MR616	US	NY	G	3	14	B.2	B
UNY204	MR620	US	NY	M	3	12	B.1	B
UNY205	MR625	US	NY	I	3	16	B.1	B
UNY206	MR628	US	NY	N	2	9	B.1	B
UNY207	MR635	US	NY	C	3	11	C	C
UNY208	MR641	US	NY	H	2	4	C	C
UNY209	MR656	US	NY	I	3	16	B.1	B
UNY210	MR662	US	NY	U	3	18	B.2	B
UNY211	MR663	US	NY	K	2	3	C	C
UNY212	MR678	US	NY	K	2	3	C	C
UNY213	MR691	US	NY	F	2	8	B.2	B
UNY214	MR692	US	NY	E3	3	40	B.2	B
UNY215	MR715	US	NY	G	3	14	B.2	B
UNY216	MR716	US	NY	M	3	12	B.1	B
UNY217	MR730	US	NY	T	3	37	B.2	B
UNY218	MR731	US	NY	T	3	37	B.2	B
URI219	R4	US	RI	A	1	1	A	A
UWI220	MC73	US	WI	F	2	56	B.1	B
UWI221	MC74	US	WI	H	2	32	C	C
UWI222	MC75	US	WI	H	2	32	C	C
UWI223	MC76	US	WI	K	2	234	C	C
UWI224	MC77	US	WI	H	2	32	C	C
UWI225	MC78	US	WI	F	2	56	B.1	B
UWI226	MC79	US	WI	O	3	221	B.1	B
UWI227	MC80	US	WI	H	2	32	C	C
UWI228	MC81	US	WI	K	2	234	C	C
UWI229	MC82	US	WI	N	2	43	B.1	B
UWI230	MC83	US	WI	U	3	222	B.1	B
UWI231	MC85	US	WI	E3	3	52	B.2	B
UWI232	MC86	US	WI	K	2	234	C	C
UWI233	MC88	US	WI	G	3	48	B.2	B
UWI234	MC89	US	WI	L	2	29	C	C
UWI235	MC90	US	WI	U	3	47	B.2	B
UWI236	MC91	US	WI	G	3	48	B.2	B
UWI237	MC92	US	WI	E	3	229	B.1	B
UWI238	MC93	US	WI	L	2	29	C	C
UWI239	MC95	US	WI	O	3	221	B.1	B
UWI240	MC96	US	WI	M	3	12	B.1	B
UWI241	MC97a	US	WI	G	3	48	B.2	B
UWI242	MC98	US	WI	A	1	55	A	A
UWI243	MC99	US	WI	K	2	234	C	C
UWI244	MC100	US	WI	J	3	237	B.1	B
UWI245	MC101	US	WI	E	3	229	B.1	B
UWI246	MC102	US	WI	E	2	302	B.1	B
UWI247	MC104	US	WI	H	2	4	C	C
UWI248	MC105	US	WI	H	2	32	C	C
UWI249	MC106	US	WI	M	3	409	B.1	B
UWI250	MC107	US	WI	H	2	32	C	C
UWI251	MC108	US	WI	B	1	30	A	A
UWI252	MC111	US	WI	L	2	29	C	C
UWI253	MC112	US	WI	H	2	32	C	C
UWI254	MC113	US	WI	H	2	32	C	C
UWI255	MC114	US	WI	I	3	227	B.1	B
UWI256	MC115	US	WI	L	2	29	C	C
UWI257	MC117	US	WI	B3	3	232	B.1	B
UWI258	MC118	US	WI	B3	3	232	B.1	B
UWI260	MC120	US	WI	F3	3	225	B.2	B
UWI261	MC121	US	WI	A	1	55	A	A
UWI262	MC122	US	WI	D	3	51	B.2	C
UWI263	MC123	US	WI	L	2	29	C	C
UWI264	MC125	US	WI	L	2	29	C	C
UWI265	MC126	US	WI	K	2	234	C	C
UWI267	MC128	US	WI	U	3	222	B.1	B
UWI268	MC129	US	WI	I	3	228	B.1	B
