"Isolate"	"ST"	"New ST"	"Contamination"	"clpA"	"clpX"	"nifS"	"pepX"	"pyrG"	"recG"	"rplB"	"uvrA"
"BL091_B31E2_erpP"	"1~"	"Unknown"	"recG_1,recG_1"	"1"	"1~"	"1"	"1"	"1"	"1"	"1~"	"1"
"K74.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K15.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI20_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"K72.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"EU51_B192411.hybrid.assembly.contigs"	"24"	""	""	"15"	"9"	"12"	"8"	"1"	"11"	"8"	"16"
"K30.hybrid.assembly.contigs"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"K16.hybrid.assembly.contigs"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"K7.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K12.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K89.hybrid.assembly.contigs"	"16~"	"Unknown"	""	"2~"	"2"	"1"	"2"	"2"	"6"	"2"	"7"
"EU14_B89613.hybrid.assembly.contigs"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"K17.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K3.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K57.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K71.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K70.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K60.hybrid.assembly.contigs"	"1~"	"Unknown"	""	"1"	"1"	"1"	"1"	"1"	"1"	"1~"	"1"
"K82.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K11.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K59.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K69.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
