"Isolate"	"ST"	"New ST"	"Contamination"	"clpA"	"clpX"	"nifS"	"pepX"	"pyrG"	"recG"	"rplB"	"uvrA"
"K24.hybrid.assembly.contigs"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY211_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY209_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UCT62_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY131_200"	"50"	""	""	"8"	"1"	"1"	"17"	"1"	"6"	"1"	"10"
"UNY130_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI97_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI81_200"	"9~"	"Unknown"	""	"10"	"5"	"4"	"6"	"1"	"6"	"1~"	"6"
"ESI307_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UNY184_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI112_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT121_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"ESI301_200"	"314"	""	""	"14"	"1"	"11"	"1"	"113"	"1"	"1"	"10"
"URI98_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K2.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI60_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"URI52_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UCT73_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI120_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"MC105"	"32"	""	""	"8"	"1"	"1"	"1"	"4"	"16"	"1"	"7"
"UWI225_200"	"56"	""	""	"24"	"14"	"4"	"18"	"11"	"19"	"1"	"12"
"UWI238_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"UNY170_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI63_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI78_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"ESI318_200"	"545"	""	""	"14"	"1"	"11"	"1"	"164"	"1"	"1"	"10"
"UNY135_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"URI17_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"UCT32_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY150_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"K1.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI119_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI49_200"	"8"	""	""	"5"	"5"	"4"	"5"	"5"	"5"	"1"	"6"
"URI43_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY185_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY192_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI86_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY156_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"K64.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"BL522"	"12"	""	""	"3"	"3"	"2"	"4"	"3"	"4"	"4"	"4"
"ESI286_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"URI42_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY129_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI59_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UNY153_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI103_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT110_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI77_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY197_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UCT106_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"UNY149_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"MR641"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"BL546"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"UNY182_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI56_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UMA7_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"B477"	"38"	""	""	"21"	"1"	"15"	"8"	"1"	"18"	"4"	"7"
"UNY176_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"URI99_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"URI38_200"	"37"	""	""	"7"	"6"	"12"	"1"	"1"	"5"	"5"	"5"
"MC104"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"URI22_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"B483"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UNY155_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI90_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UNY195_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI61_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY165_200"	"14"	""	""	"9"	"1"	"1"	"7"	"1"	"6"	"1"	"10"
"UCT115_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"URI71_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY188_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY189_200"	"16~"	"Novel ST"	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"10"
"UNY163_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"URI116_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"URI64_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI41_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UCT30_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI53_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UMA5_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"UNY180_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI47_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI48_200"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UNY151_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"UCT66_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UNY154_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY174_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"URI219_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UMA14_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"URI46_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY142_200"	"50"	""	""	"8"	"1"	"1"	"17"	"1"	"6"	"1"	"10"
"URI68_200"	"36"	""	""	"10"	"5"	"4"	"6"	"1"	"15"	"1"	"6"
"UCT104_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY190_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"URI36_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UNY148_200"	"4"	""	""	"8"	"1"	"1"	"1"	"4"	"6"	"1"	"7"
"URI55_200"	"19"	""	""	"4"	"4"	"3"	"3"	"3"	"3"	"3"	"3"
"B500"	"15"	""	""	"2"	"2"	"4"	"2"	"2"	"2"	"2"	"2"
"UWI262_200"	"51"	""	""	"8"	"1"	"15"	"8"	"12"	"20"	"1"	"7"
"UMA15_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI39_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UMA1_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY194_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI87_200"	"1~"	"Unknown"	""	"1"	"1"	"1"	"1"	"1"	"1"	"1~"	"1"
"K13.hybrid.assembly.contigs"	"9"	""	""	"10"	"5"	"4"	"6"	"1"	"6"	"1"	"6"
"UCT31_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UMA16_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"URI58_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"UNY152_200"	"18"	""	""	"7"	"6"	"6"	"1"	"1"	"5"	"5"	"5"
"URI23_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY139_200"	"7"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"8"
"UMA10_200"	"797"	""	""	"6"	"1"	"5"	"1"	"230"	"242"	"1"	"224"
"URI102_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UMA4_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"URI100_200"	"59"	""	""	"6"	"1"	"5"	"1"	"1"	"7"	"1"	"19"
"UWI234_200"	"29"	""	""	"18"	"12"	"1"	"11"	"2"	"15"	"1"	"2"
"URI114_200"	"16"	""	""	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"
"K86.hybrid.assembly.contigs"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"UCT109_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"K56.hybrid.assembly.contigs"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"BL224"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UMA12_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
"ESI308_200"	"20"	""	""	"14"	"1"	"11"	"1"	"1"	"1"	"1"	"10"
"UNY212_200"	"3"	""	""	"4"	"1"	"1"	"1"	"1"	"6"	"1"	"7"
"UNY145_200"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
